titel,pdf,urn,sou-nr,full_titel
1922:34,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1981051.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483872,1922:34,"Betänkande och förslag avgivna av den av Kungl. Maj:t den 31 augusti 1920 tillsatta kommitté för verkställande av utredning, huruvida krigsdomstolarna i fredstid kunna avskaffas 1920 års krigslagstiftningskommittés betänkande",
1922:35,https://weburn.kb.se/sou/202/urn-nbn-se-kb-digark-2019772.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483873,1922:35,"Utredning och förslag angående höjning av maximigränsen för den primära jordbruksfastighetskrediten betänkande 1",
1922:36,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1976945.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2136084,1922:36,"Pappersindustriens produktionsförhållanden utredning",
1922:37,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021969.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220811,1922:37,"Underdånigt utlåtande med förslag till förordning angående tillverkning och beskattning av maltdrycker m. m.",
1922:38,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977721.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417760,1922:38,"Den svenska kautschukindustriens utveckling 1890-1913 med särskild hänsyn till dess ställning åren närmast före världskriget utredning",
1922:39,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2079094.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483875,1922:39,"Betänkande med förslag till förordning om motorfordon jämte därmed sammanhängande författningar samt till stadga om trafiken å vägar och gator",
1922:40,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1981046.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417757,1922:40,"Margarinindustriens utveckling med särskild hänsyn till förhållandena före världskriget utredning",
1922:41,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2223638.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417762,1922:41,"Huvuddragen av det svenska jordbrukets utveckling 1871-1919 utredning",
1922:42,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1960917.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417765,1922:42,"Översikt av jordbrukets utveckling i vissa främmande länder 1871-1913",
1922:43,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1967750.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483876,1922:43,"Betänkande med förslag till allmän sjukhusstadga m. m.",
1922:44,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971374.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2504262,1922:44,"Kommunikationsverkens lönekommitté. 4",
1922:45,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165665.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220812,1922:45,"Odlingsorganisationens verksamhet åren 1918-1922 berättelse",
1922:46,https://weburn.kb.se/sou/200/urn-nbn-se-kb-digark-1990986.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483878,1922:46,"Betänkande med förslag till lag om tvångsuppfostran åt unga förbrytare m. m.",
1922:47,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978457.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503708,1922:47,"Jordkommissionens betänkanden. D. 4",
1922:48,https://weburn.kb.se/sou/237/urn-nbn-se-kb-digark-2361060.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2503711,1922:48,"Jordkommissionens betänkanden. D. 5",
1922:49,https://weburn.kb.se/sou/194/urn-nbn-se-kb-digark-1934766.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483879,1922:49,"Utredning angående omorganisation av polisväsendet i riket",
1922:50,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1978545.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2204950,1922:50,"Bilaga till Statistiksakkunnigas betänkande redogörelse för huvuddragen av den officiella statistikens utveckling och nuvarande organisation i Sverige jämte kort översikt av dess organisation i vissa främmande länder samt i internationellt hänseende",
1922:51,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971431.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231682,1922:51,"Flottans skolsakkunnigas betänkande. 4",
